ndi	869
a	597
ku	405
la	394
wa	322
pa	286
dziko	254
cha	246
kuti	216
mu	213
anthu	210
ya	189
ndipo	161
kwa	156
za	156
amene	139
malawi	121
mzinda	109
malaŵi	107
anali	87
is	84
it	84
banda	84
this	82
can	81
wikipedia	81
by	80
you	80
stub	78
expanding	78
help	78
article	78
boma	77
africa	73
ngati	73
ena	71
dzikoli	59
chipani	59
iwo	59
mutharika	58
nthawi	57
komanso	57
lomwe	53
kwambiri	52
ntchito	51
chifukwa	51
ma	50
ambiri	47
zaka	47
kapena	46
america	44
chisankho	44
koma	44
yesu	42
pamene	42
chomwe	40
zambia	39
mwa	38
chaka	38
pakati	37
mtsogoleri	37
and	36
of	36
lilongwe	36
omwe	35
munthu	35
chipanichi	33
nkhani	33
ngakhale	33
yomwe	32
ufulu	32
chi	32
pulezidenti	32
kukhala	31
muluzi	31
malo	30
zomwe	30
south	30
awo	29
the	28
ali	28
zambiri	28
malamulo	28
united	28
nyasaland	27
mcp	27
ndiponso	27
kumene	27
bwino	27
mayiko	27
chakuamba	27
chitsamunda	26
tembo	26
states	24
dzina	24
mbiri	23
matendawa	23
mphamvu	23
north	23
mtsinje	22
onse	22
mpaka	22
chuma	21
kumpoto	21
monga	21
nyanja	21
zina	21
chichewa	21
maiko	20
kamuzu	20
nyengo	20
2004	20
moyo	20
pansi	20
makamaka	19
kale	19
mulungu	19
kuyambira	19
wake	19
eminem	19
mwezi	19
nawo	18
akafula	18
zipani	18
tsiku	18
sukulu	18
canada	18
ulamuliro	18
kuchokera	18
chilembwe	18
iye	18
utsogoleri	18
=	18
john	17
bingu	17
madonna	17
ana	17
kasungu	17
lina	17
anakhala	17
udf	17
mbali	17
mchaka	16
nduna	16
wina	16
chilankhulo	16
ka	16
anayamba	16
party	16
anabadwa	16
ndale	16
nyumba	16
muntharika	15
mpingo	15
kunja	15
congress	15
hastings	15
wawo	15
masiku	15
britain	15
maphunziro	15
in	14
kuchoka	14
uli	14
europe	14
lonse	14
baibulo	14
mitundu	14
yili	14
mozambique	14
asia	13
democratic	13
free	13
chiwerengero	13
malonda	13
-	13
african	13
gulu	13
mipando	13
kum'mwera	13
izi	13
wachiwiri	13
mzindawu	13
french	13
mwana	13
chakudya	13
mawu	13
bungwe	13
university	13
pafupifupi	13
lake	13
lili	12
mgwirizano	12
chihana	12
chawo	12
kwawo	12
chakuti	12
caribbean	12
2009	12
ake	12
meyi	12
our	12
matenda	12
rhodesia	11
mayi	11
kubadwa	11
akuda	11
chisankhochi	11
one	11
njira	11
likulu	11
anayambitsa	11
2005	11
m'madera	11
azungu	11
2008	11
chitukuko	11
chinachitika	11
bakili	11
afrika	11
uthenga	11
chikhalidwe	11
khristu	11
maganizo	11
ukachenjede	11
1994	10
bukhu	10
mpoto	10
kuposa	10
european	10
woyamba	10
kummwera	10
nkhondo	10
pambuyo	10
zomba	10
mfundo	10
umodzi	10
chimodzi	10
central	10
linali	10
chigawo	10
6	10
anapambana	10
pali	10
tsopano	10
zisanu	10
akulu	10
pafupi	10
zonse	10
awiri	9
wodzilamulira	9
amakhulupilira	9
imene	9
zinthu	9
atsamunda	9
ochepa	9
zedi	9
lalikulu	9
20	9
kunali	9
anasankhidwa	9
us	9
great	9
links	9
2010	9
limapezeka	9
mwanza	9
dpp	9
mmodzi	9
blantyre	9
chikhristu	8
atatu	8
kusintha	8
ebola	8
dr	8
mavoti	8
alimi	8
for	8
limene	8
mtunda	8
ndalama	8
kilomita	8
mau	8
malinga	8
ano	8
zinali	8
3	8
siyana	8
madera	8
zomera	8
umene	8
pulezident	8
all	8
to	8
likhale	8
pano	8
lokha	8
kupita	8
ankafuna	8
tizilombo	8
lapansi	8
womwe	8
front	8
zotsatira	8
western	8
mdziko	8
chipangano	8
amakhala	8
nkhalango	8
padziko	8
english	8
m'ma	8
tauni	8
ziwiri	8
limatanthauza	8
union	8
mexico	7
pomwe	7
aliyense	7
yayikulu	7
mazana	7
bay	7
kenaka	7
chidwi	7
mangochi	7
kufika	7
yohane	7
kuli	7
miliyoni	7
mulanje	7
mabukhu	7
west	7
zili	7
madzi	7
akuti	7
julaye	7
udindo	7
kwacha	7
dzilo	7
analemba	7
umboni	7
1900	7
cholinga	7
mvula	7
akufuna	7
luka	7
1964	7
mwanayo	7
amanena	7
kumadzulo	7
malire	7
2006	7
anasiya	7
amati	7
chilankhulochi	7
asanu	7
gwanda	7
zimbabwe	7
zimenezi	7
mdzikoli	7
amatanthauza	7
dera	6
china	6
koyamba	6
mulandu	6
anayi	6
bantu	6
dzuwa	6
tanzania	6
m’thupi	6
de	6
chitaganya	6
loti	6
galimoto	6
zimene	6
chili	6
roma	6
cape	6
wao	6
wabwino	6
bambo	6
greenland	6
17	6
m'dziko	6
phiri	6
chilengedwe	6
pacific	6
au	6
njala	6
unali	6
24	6
dongosolo	6
amayenera	6
febuluale	6
scotland	6
limodzi	6
ufumu	6
anamasulidwa	6
buku	6
chintheche	6
heidelberg	6
be	6
atsogoleri	6
anamangidwa	6
aphungu	6
yaikulu	6
land	6
feteleza	6
apa	6
praise	6
bonse	6
makumi	6
tauniyi	6
chokwanira	6
david	6
azimayi	6
okwana	6
nkhaniyi	6
anapita	6
ochokera	6
patapita	6
chimalankhulidwa	6
chimene	6
chigiriki	5
ngwazi	5
new	5
gawo	5
dre	5
anasankha	5
1997	5
india	5
otsatira	5
london	5
kum'mawa	5
zigawo	5
apolisi	5
khumi	5
kanema	5
rap	5
coast	5
anapeza	5
kumakhala	5
climate	5
mphepete	5
east	5
ubale	5
ang'ono	5
ta	5
komwe	5
madzulo	5
m'mene	5
iwowa	5
mtundu	5
umapezeka	5
zabwino	5
maboma	5
achewa	5
tsankho	5
international	5
iwowo	5
50	5
ankalamulira	5
analengeza	5
23	5
msonkhano	5
akhala	5
akhale	5
kupanga	5
wakhala	5
thyolo	5
nyama	5
milandu	5
m'chaka	5
wawukulu	5
m’ma	5
m’chaka	5
mavuto	5
osiyanasiyana	5
sudan	5
kontinenti	5
zake	5
okotobala	5
unduna	5
zinenero	5
mafuta	5
thupi	5
kapitolo	5
ulimi	5
wakale	5
25	5
anapatsidwa	5
progressive	5
kutentha	5
chingerezi	5
pang'ono	5
ndiye	5
anachita	5
kudzera	5
wotchuka	5
twikatane	5
nthaka	5
choncho	5
magazi	5
atlantic	5
nac	5
oyandikana	5
chitetezo	5
debbie	5
zachuma	5
katekisma	5
democracy	5
yunivesite	5
mabungwe	5
anamwalira	5
anabadwira	5
ananena	5
chinenero	5
yaitali	5
april	5
church	5
alliance	5
mtima	5
ine	5
ep	5
ankachita	5
limati	4
inali	4
kaamba	4
anatenga	4
mtengo	4
oposa	4
1993	4
henry	4
anthuwa	4
kumvuma	4
british	4
mateyu	4
patsogolo	4
kuyenda	4
amayi	4
wokha	4
kugulitsa	4
weni	4
waukulu	4
kugwira	4
osati	4
mboma	4
